,Trap,Date,Species,TotalMosquitos,Address,Block,Street,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,dist_to_spray,dist_to_ord,dist_to_mdw,station_name,Station,Tmax,Tmin,Tavg,WetBulb,PrecipTotal,ResultSpeed,AvgSpeed
11,T001,2007-08-24,CULEX PIPIENS/RESTUANS,2,"4000 North Tripp Avenue, Chicago, IL 60641, USA",40, N TRIPP AVE,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,8,2,0,,10.639040259,11.611650052,ORD,1,80,69,75,69,0.24,5.8,7.1
12,T001,2007-09-12,CULEX PIPIENS/RESTUANS,1,"4000 North Tripp Avenue, Chicago, IL 60641, USA",40, N TRIPP AVE,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,8,1,0,,10.639040259,11.611650052,ORD,1,67,46,57,49,0.0,1.8,5.6
13,T001,2007-10-04,CULEX PIPIENS,1,"4000 North Tripp Avenue, Chicago, IL 60641, USA",40, N TRIPP AVE,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,8,1,0,,10.639040259,11.611650052,ORD,1,82,51,67,61,0.0,3.9,4.6
14,T001,2007-10-04,CULEX TERRITANS,1,"4000 North Tripp Avenue, Chicago, IL 60641, USA",40, N TRIPP AVE,"4000  N TRIPP AVE, Chicago, IL",41.953705,-87.733974,8,1,0,,10.639040259,11.611650052,ORD,1,82,51,67,61,0.0,3.9,4.6
15,T002,2007-05-29,CULEX PIPIENS/RESTUANS,1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,,7.34585247568,11.9134749222,ORD,1,88,60,74,65,0.0,5.8,6.5
16,T002,2007-05-29,CULEX RESTUANS,1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,,7.34585247568,11.9134749222,ORD,1,88,60,74,65,0.0,5.8,6.5
17,T002,2007-06-05,CULEX PIPIENS,1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,,7.34585247568,11.9134749222,ORD,1,64,47,56,51,0.42,5.2,7.6
18,T002,2007-06-05,CULEX PIPIENS/RESTUANS,3,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,3,0,,7.34585247568,11.9134749222,ORD,1,64,47,56,51,0.42,5.2,7.6
19,T002,2007-06-05,CULEX RESTUANS,5,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,5,0,,7.34585247568,11.9134749222,ORD,1,64,47,56,51,0.42,5.2,7.6
20,T002,2007-06-26,CULEX PIPIENS/RESTUANS,1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,,7.34585247568,11.9134749222,ORD,1,92,70,81,72,0.16,6.1,7.1
21,T002,2007-06-26,CULEX RESTUANS,4,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,4,0,,7.34585247568,11.9134749222,ORD,1,92,70,81,72,0.16,6.1,7.1
22,T002,2007-06-26,CULEX SALINARIUS,1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,,7.34585247568,11.9134749222,ORD,1,92,70,81,72,0.16,6.1,7.1
23,T002,2007-06-29,CULEX PIPIENS/RESTUANS,2,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,2,0,,7.34585247568,11.9134749222,ORD,1,70,56,63,59,0.0,7.6,8.3
24,T002,2007-07-02,CULEX PIPIENS/RESTUANS,3,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,3,0,,7.34585247568,11.9134749222,ORD,1,79,53,66,58,0.0,5.9,8.1
25,T002,2007-07-02,CULEX RESTUANS,2,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,2,0,,7.34585247568,11.9134749222,ORD,1,79,53,66,58,0.0,5.9,8.1
26,T002,2007-07-11,CULEX PIPIENS,2,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,2,0,,7.34585247568,11.9134749222,ORD,1,77,62,70,59,0.0,8.8,10.9
27,T002,2007-07-11,CULEX PIPIENS/RESTUANS,18,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,18,0,,7.34585247568,11.9134749222,ORD,1,77,62,70,59,0.0,8.8,10.9
28,T002,2007-07-11,CULEX RESTUANS,7,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,7,0,,7.34585247568,11.9134749222,ORD,1,77,62,70,59,0.0,8.8,10.9
29,T002,2007-07-18,CULEX PIPIENS,4,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,4,0,,7.34585247568,11.9134749222,ORD,1,85,69,77,71,1.55,9.1,10.1
30,T002,2007-07-18,CULEX PIPIENS/RESTUANS,7,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,7,0,,7.34585247568,11.9134749222,ORD,1,85,69,77,71,1.55,9.1,10.1
31,T002,2007-07-18,CULEX RESTUANS,2,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,2,0,,7.34585247568,11.9134749222,ORD,1,85,69,77,71,1.55,9.1,10.1
32,T002,2007-07-27,CULEX PIPIENS,1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,,7.34585247568,11.9134749222,ORD,1,83,70,77,70,0.17,3.0,7.9
33,T002,2007-07-27,CULEX PIPIENS/RESTUANS,23,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,23,0,,7.34585247568,11.9134749222,ORD,1,83,70,77,70,0.17,3.0,7.9
34,T002,2007-07-27,CULEX RESTUANS,11,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,11,0,,7.34585247568,11.9134749222,ORD,1,83,70,77,70,0.17,3.0,7.9
35,T002,2007-08-01,CULEX PIPIENS,67,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,28,0,,7.34585247568,11.9134749222,ORD,1,92,69,81,69,0.0,3.5,4.1
37,T002,2007-08-01,CULEX PIPIENS/RESTUANS,104,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,33,0,,7.34585247568,11.9134749222,ORD,1,92,69,81,69,0.0,3.5,4.1
40,T002,2007-08-01,CULEX RESTUANS,8,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,8,0,,7.34585247568,11.9134749222,ORD,1,92,69,81,69,0.0,3.5,4.1
41,T002,2007-08-07,CULEX PIPIENS,11,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,11,0,,7.34585247568,11.9134749222,ORD,1,91,72,82,76,1.31,6.2,9.0
42,T002,2007-08-07,CULEX PIPIENS/RESTUANS,13,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,13,0,,7.34585247568,11.9134749222,ORD,1,91,72,82,76,1.31,6.2,9.0
43,T002,2007-08-07,CULEX RESTUANS,2,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,2,0,,7.34585247568,11.9134749222,ORD,1,91,72,82,76,1.31,6.2,9.0
44,T002,2007-08-15,CULEX PIPIENS,32,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,16,0,,7.34585247568,11.9134749222,ORD,1,80,71,76,70,0.23,3.4,5.8
46,T002,2007-08-15,CULEX PIPIENS/RESTUANS,41,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,41,1,,7.34585247568,11.9134749222,ORD,1,80,71,76,70,0.23,3.4,5.8
47,T002,2007-08-15,CULEX RESTUANS,3,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,3,0,,7.34585247568,11.9134749222,ORD,1,80,71,76,70,0.23,3.4,5.8
48,T002,2007-08-21,CULEX PIPIENS,46,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,46,0,,7.34585247568,11.9134749222,ORD,1,87,69,78,72,0.0,3.8,6.0
49,T002,2007-08-21,CULEX PIPIENS/RESTUANS,23,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,23,1,,7.34585247568,11.9134749222,ORD,1,87,69,78,72,0.0,3.8,6.0
50,T002,2007-08-21,CULEX TERRITANS,1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,,7.34585247568,11.9134749222,ORD,1,87,69,78,72,0.0,3.8,6.0
51,T002,2007-08-24,CULEX PIPIENS,35,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,35,0,,7.34585247568,11.9134749222,ORD,1,80,69,75,69,0.24,5.8,7.1
52,T002,2007-08-24,CULEX PIPIENS/RESTUANS,27,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,27,1,,7.34585247568,11.9134749222,ORD,1,80,69,75,69,0.24,5.8,7.1
53,T002,2007-09-04,CULEX PIPIENS,13,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,13,1,,7.34585247568,11.9134749222,ORD,1,89,63,76,66,0.0,2.8,4.3
54,T002,2007-09-04,CULEX PIPIENS/RESTUANS,10,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,10,1,,7.34585247568,11.9134749222,ORD,1,89,63,76,66,0.0,2.8,4.3
55,T002,2007-09-12,CULEX PIPIENS,6,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,6,1,,7.34585247568,11.9134749222,ORD,1,67,46,57,49,0.0,1.8,5.6
56,T002,2007-09-12,CULEX PIPIENS/RESTUANS,2,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,2,0,,7.34585247568,11.9134749222,ORD,1,67,46,57,49,0.0,1.8,5.6
57,T002,2007-09-18,CULEX PIPIENS,17,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,17,0,,7.34585247568,11.9134749222,ORD,1,88,63,76,65,0.0,12.9,13.1
58,T002,2007-09-18,CULEX PIPIENS/RESTUANS,24,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,24,0,,7.34585247568,11.9134749222,ORD,1,88,63,76,65,0.0,12.9,13.1
59,T002,2007-09-24,CULEX PIPIENS,41,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,41,0,,7.34585247568,11.9134749222,ORD,1,90,68,79,68,0.0,11.4,11.9
60,T002,2007-09-24,CULEX PIPIENS/RESTUANS,33,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,33,0,,7.34585247568,11.9134749222,ORD,1,90,68,79,68,0.0,11.4,11.9
61,T002,2007-10-04,CULEX PIPIENS,53,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,47,0,,7.34585247568,11.9134749222,ORD,1,82,51,67,61,0.0,3.9,4.6
63,T002,2007-10-04,CULEX PIPIENS/RESTUANS,29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,29,0,,7.34585247568,11.9134749222,ORD,1,82,51,67,61,0.0,3.9,4.6
64,T002,2009-05-28,CULEX PIPIENS/RESTUANS,2,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,2,0,,7.34585247568,11.9134749222,ORD,1,62,54,58,54,0.0,6.8,8.1
65,T002,2009-06-02,CULEX PIPIENS/RESTUANS,29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,29,0,,7.34585247568,11.9134749222,ORD,1,60,48,54,50,0.12,7.4,8.0
66,T002,2009-06-05,CULEX PIPIENS/RESTUANS,1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,,7.34585247568,11.9134749222,ORD,1,79,44,62,54,0.0,5.8,6.7
67,T002,2009-06-05,CULEX RESTUANS,4,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,4,0,,7.34585247568,11.9134749222,ORD,1,79,44,62,54,0.0,5.8,6.7
68,T002,2009-06-12,CULEX PIPIENS,1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,,7.34585247568,11.9134749222,ORD,1,74,49,62,55,0.0,4.4,5.8
69,T002,2009-06-12,CULEX PIPIENS/RESTUANS,5,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,5,0,,7.34585247568,11.9134749222,ORD,1,74,49,62,55,0.0,4.4,5.8
70,T002,2009-06-12,CULEX RESTUANS,2,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,2,0,,7.34585247568,11.9134749222,ORD,1,74,49,62,55,0.0,4.4,5.8
71,T002,2009-06-19,CULEX PIPIENS/RESTUANS,22,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,22,0,,7.34585247568,11.9134749222,ORD,1,86,65,76,69,3.97,7.2,11.6
72,T002,2009-06-19,CULEX RESTUANS,6,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,6,0,,7.34585247568,11.9134749222,ORD,1,86,65,76,69,3.97,7.2,11.6
73,T002,2009-07-06,CULEX PIPIENS,1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,,7.34585247568,11.9134749222,ORD,1,86,60,73,62,0.0,7.5,7.8
74,T002,2009-07-06,CULEX PIPIENS/RESTUANS,3,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,3,0,,7.34585247568,11.9134749222,ORD,1,86,60,73,62,0.0,7.5,7.8
75,T002,2009-07-06,CULEX RESTUANS,12,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,12,0,,7.34585247568,11.9134749222,ORD,1,86,60,73,62,0.0,7.5,7.8
76,T002,2009-07-10,CULEX PIPIENS,4,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,4,0,,7.34585247568,11.9134749222,ORD,1,82,63,73,67,0.08,4.4,4.9
77,T002,2009-07-10,CULEX PIPIENS/RESTUANS,129,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,29,0,,7.34585247568,11.9134749222,ORD,1,82,63,73,67,0.08,4.4,4.9
80,T002,2009-07-10,CULEX RESTUANS,32,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,32,0,,7.34585247568,11.9134749222,ORD,1,82,63,73,67,0.08,4.4,4.9
81,T002,2009-07-17,CULEX PIPIENS,3,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,3,0,,7.34585247568,11.9134749222,ORD,1,70,57,64,56,0.0,10.6,10.8
82,T002,2009-07-17,CULEX PIPIENS/RESTUANS,96,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,46,0,,7.34585247568,11.9134749222,ORD,1,70,57,64,56,0.0,10.6,10.8
84,T002,2009-07-17,CULEX RESTUANS,14,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,14,0,,7.34585247568,11.9134749222,ORD,1,70,57,64,56,0.0,10.6,10.8
85,T002,2009-07-24,CULEX PIPIENS,4,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,4,0,,7.34585247568,11.9134749222,ORD,1,83,61,72,64,0.14,8.9,9.8
86,T002,2009-07-24,CULEX PIPIENS/RESTUANS,215,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,50,0,,7.34585247568,11.9134749222,ORD,1,83,61,72,64,0.14,8.9,9.8
91,T002,2009-07-24,CULEX RESTUANS,18,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,18,0,,7.34585247568,11.9134749222,ORD,1,83,61,72,64,0.14,8.9,9.8
92,T002,2009-07-31,CULEX PIPIENS,3,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,3,0,,7.34585247568,11.9134749222,ORD,1,81,58,70,61,0.0,6.2,7.3
93,T002,2009-07-31,CULEX PIPIENS/RESTUANS,14,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,14,0,,7.34585247568,11.9134749222,ORD,1,81,58,70,61,0.0,6.2,7.3
94,T002,2009-07-31,CULEX RESTUANS,4,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,4,0,,7.34585247568,11.9134749222,ORD,1,81,58,70,61,0.0,6.2,7.3
95,T002,2009-08-07,CULEX PIPIENS,1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,,7.34585247568,11.9134749222,ORD,1,74,64,69,63,0.33,7.3,7.8
96,T002,2009-08-07,CULEX PIPIENS/RESTUANS,12,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,12,0,,7.34585247568,11.9134749222,ORD,1,74,64,69,63,0.33,7.3,7.8
97,T002,2009-08-25,CULEX PIPIENS/RESTUANS,14,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,14,0,,7.34585247568,11.9134749222,ORD,1,83,59,71,65,0.0,9.1,9.2
98,T002,2009-08-25,CULEX RESTUANS,7,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,7,0,,7.34585247568,11.9134749222,ORD,1,83,59,71,65,0.0,9.1,9.2
99,T002,2009-09-14,CULEX PIPIENS/RESTUANS,6,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,6,0,,7.34585247568,11.9134749222,ORD,1,84,58,71,61,0.0,0.1,2.1
100,T002,2009-09-17,CULEX PIPIENS/RESTUANS,4,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,4,0,,7.34585247568,11.9134749222,ORD,1,72,50,61,56,0.0,3.4,4.2
101,T002,2009-09-17,CULEX RESTUANS,2,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,2,0,,7.34585247568,11.9134749222,ORD,1,72,50,61,56,0.0,3.4,4.2
102,T002,2009-09-25,CULEX PIPIENS,1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,,7.34585247568,11.9134749222,ORD,1,70,60,65,60,0.16,5.4,7.3
103,T002,2009-09-25,CULEX PIPIENS/RESTUANS,27,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,27,0,,7.34585247568,11.9134749222,ORD,1,70,60,65,60,0.16,5.4,7.3
